obj_key,состояние площадки,Площадь,Генпроектировщик,Генподрядчик,Кол-во рабочих,date_report
022-0170,"Свободна, передана",16402.54,1,2,271.0,2023.01.20
022-0526,,18100.0,0,0,,2023.01.20
022-0527,Не передана,9850.0,0,0,,2023.01.20
022-0522,Не передана,13260.0,0,0,,2023.01.20
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.01.20
022-0525,Не передана,9900.0,0,0,,2023.01.20
022-0523,,27225.0,0,0,,2023.01.20
022-0524,,6800.0,0,0,,2023.01.20
022-0528,Не передана,12225.0,0,0,,2023.01.20
022-0354,,20271.0,0,0,,2023.01.20
022-0176,Не передана,17000.0,4,0,,2023.01.20
020-0720,"Свободна, передана",20164.69,9,6,186.0,2023.01.20
019-0429,"Свободна, передана",11410.0,11,7,65.0,2023.01.20
020-0155,Занята,16484.0,8,5,,2023.01.20
019-0428,"Свободна, передана",9067.1,12,4,36.0,2023.01.20
019-0431,"Свободна, передана",19433.4,22,16,213.0,2023.01.20
019-0430,"Свободна, не передана",16094.4,23,15,,2023.01.20
020-0710,"Свободна, передана",8067.83,8,5,97.0,2023.01.20
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.01.20
019-0675,"Свободна, передана",8844.0,26,18,128.0,2023.01.20
020-0709,"Свободна, не передана",6848.84,27,1,98.0,2023.01.20
020-0683,"Свободна, не передана",7515.86,27,1,33.0,2023.01.20
021-0781,"Свободна, не передана",8226.4,2,0,,2023.01.20
021-0048,"Свободна, не передана",9900.0,6,0,,2023.01.20
020-0711,"Свободна, передана",7265.0,28,19,9.0,2023.01.20
019-0594,Занята,17488.0,1,2,,2023.01.20
020-0156,Занята,13288.0,21,15,,2023.01.20
019-0676,"Свободна, не передана",6291.0,29,20,122.0,2023.01.20
019-0674,Занята,9030.0,6,0,,2023.01.20
020-0157,Занята,7243.9,30,7,39.0,2023.01.20
017-0527,Занята,14784.0,8,5,,2023.01.20
022-0170,"Свободна, передана",16402.54,1,2,339.0,2023.01.27
022-0526,"Свободна, не передана",18100.0,0,0,,2023.01.27
022-0527,Не передана,9850.0,0,0,,2023.01.27
022-0522,Не передана,13260.0,0,0,,2023.01.27
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.01.27
022-0525,Не передана,9900.0,0,0,,2023.01.27
022-0523,,27225.0,0,0,,2023.01.27
022-0524,Занята,6800.0,0,0,,2023.01.27
022-0528,Занята,12225.0,0,0,,2023.01.27
022-0354,"Свободна, не передана",20271.0,0,0,,2023.01.27
022-0176,Не передана,17000.0,4,0,,2023.01.27
020-0720,"Свободна, передана",20164.69,9,6,252.0,2023.01.27
019-0429,"Свободна, передана",11410.0,11,7,82.0,2023.01.27
020-0155,Занята,16484.0,8,5,,2023.01.27
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.01.27
019-0431,"Свободна, передана",19433.4,22,16,215.0,2023.01.27
019-0430,"Свободна, не передана",16094.4,23,15,,2023.01.27
020-0710,"Свободна, передана",8067.83,8,5,73.0,2023.01.27
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.01.27
019-0675,"Свободна, передана",8844.0,26,18,168.0,2023.01.27
020-0709,"Свободна, не передана",6848.84,27,1,91.0,2023.01.27
020-0683,"Свободна, не передана",7515.86,27,1,33.0,2023.01.27
021-0781,"Свободна, не передана",8226.4,2,0,,2023.01.27
021-0048,"Свободна, не передана",9900.0,6,0,,2023.01.27
020-0711,"Свободна, передана",7265.0,28,19,26.0,2023.01.27
019-0594,Занята,17488.0,1,2,,2023.01.27
020-0156,Занята,13288.0,21,15,,2023.01.27
019-0676,"Свободна, не передана",6291.0,29,20,107.0,2023.01.27
019-0674,Занята,9030.0,6,0,,2023.01.27
020-0157,Занята,7243.9,30,7,44.0,2023.01.27
017-0527,Занята,14784.0,8,5,,2023.01.27
022-0170,"Свободна, передана",16402.54,1,2,339.0,2023.01.31
022-0526,"Свободна, не передана",18100.0,0,0,,2023.01.31
022-0527,Не передана,9850.0,0,0,,2023.01.31
022-0522,Не передана,13260.0,0,0,,2023.01.31
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.01.31
022-0525,Не передана,9900.0,0,0,,2023.01.31
022-0523,,27225.0,0,0,,2023.01.31
022-0524,Занята,6800.0,0,0,,2023.01.31
022-0528,Занята,12225.0,0,0,,2023.01.31
022-0354,"Свободна, не передана",20271.0,0,0,,2023.01.31
022-0176,Не передана,17000.0,4,0,,2023.01.31
020-0720,"Свободна, передана",20164.69,9,6,252.0,2023.01.31
019-0429,"Свободна, передана",11410.0,11,7,82.0,2023.01.31
020-0155,Занята,16484.0,8,5,,2023.01.31
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.01.31
019-0431,"Свободна, передана",19433.4,22,16,215.0,2023.01.31
019-0430,"Свободна, не передана",16094.4,23,15,,2023.01.31
020-0710,"Свободна, передана",8067.83,8,5,73.0,2023.01.31
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.01.31
019-0675,"Свободна, передана",8844.0,26,18,168.0,2023.01.31
020-0709,"Свободна, не передана",6848.84,27,1,91.0,2023.01.31
020-0683,"Свободна, не передана",7515.86,27,1,33.0,2023.01.31
021-0781,"Свободна, не передана",8226.4,2,0,,2023.01.31
021-0048,"Свободна, не передана",9900.0,6,0,,2023.01.31
020-0711,"Свободна, передана",7265.0,28,19,26.0,2023.01.31
019-0594,Занята,17488.0,1,2,,2023.01.31
020-0156,Занята,13288.0,21,15,,2023.01.31
019-0676,"Свободна, не передана",6291.0,29,20,107.0,2023.01.31
019-0674,Занята,9030.0,6,0,,2023.01.31
020-0157,Занята,7243.9,30,7,44.0,2023.01.31
017-0527,Занята,14784.0,8,5,,2023.01.31
022-0170,"Свободна, передана",16402.54,1,2,339.0,2023.02.03
022-0526,"Свободна, не передана",18100.0,0,0,,2023.02.03
022-0527,Не передана,9850.0,0,0,,2023.02.03
022-0522,Не передана,13260.0,0,0,,2023.02.03
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.03
022-0525,Не передана,9900.0,0,0,,2023.02.03
022-0523,,27225.0,0,0,,2023.02.03
022-0524,Занята,6800.0,0,0,,2023.02.03
022-0528,Занята,12225.0,0,0,,2023.02.03
022-0354,"Свободна, не передана",20271.0,0,0,,2023.02.03
022-0176,Не передана,17000.0,4,0,,2023.02.03
020-0720,"Свободна, передана",20164.69,9,6,252.0,2023.02.03
019-0429,"Свободна, передана",11410.0,11,7,82.0,2023.02.03
020-0155,Занята,16484.0,8,5,,2023.02.03
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.03
019-0431,"Свободна, передана",19433.4,22,16,215.0,2023.02.03
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.03
020-0710,"Свободна, передана",8067.83,8,5,73.0,2023.02.03
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.03
019-0675,"Свободна, передана",8844.0,26,18,168.0,2023.02.03
020-0709,"Свободна, не передана",6848.84,27,1,91.0,2023.02.03
020-0683,"Свободна, не передана",7515.86,27,1,33.0,2023.02.03
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.03
021-0048,"Свободна, не передана",9900.0,6,0,,2023.02.03
020-0711,"Свободна, передана",7265.0,28,19,26.0,2023.02.03
019-0594,Занята,17488.0,1,2,,2023.02.03
020-0156,Занята,13288.0,21,15,,2023.02.03
019-0676,"Свободна, не передана",6291.0,29,20,107.0,2023.02.03
019-0674,Занята,9030.0,6,0,,2023.02.03
020-0157,Занята,7243.9,30,7,44.0,2023.02.03
017-0527,Занята,14784.0,8,5,,2023.02.03
022-0170,"Свободна, передана",16402.54,1,2,307.0,2023.02.07
022-0526,Занята,18100.0,0,0,,2023.02.07
022-0527,Не передана,9850.0,0,0,,2023.02.07
022-0522,Не передана,13260.0,0,0,,2023.02.07
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.07
022-0525,Не передана,9900.0,0,0,,2023.02.07
022-0523,,27225.0,0,0,,2023.02.07
022-0524,Занята,6800.0,0,0,,2023.02.07
022-0528,Занята,12225.0,0,0,,2023.02.07
022-0354,Занята,20271.0,0,0,,2023.02.07
022-0176,Не передана,17000.0,4,0,,2023.02.07
020-0720,"Свободна, передана",20164.69,9,6,228.0,2023.02.07
019-0429,"Свободна, передана",11410.0,11,7,79.0,2023.02.07
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.07
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.07
019-0431,"Свободна, передана",19433.4,22,16,182.0,2023.02.07
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.07
020-0710,"Свободна, передана",8067.83,8,5,96.0,2023.02.07
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.07
019-0675,"Свободна, передана",8844.0,26,18,140.0,2023.02.07
020-0709,"Свободна, не передана",6848.84,27,1,86.0,2023.02.07
020-0683,"Свободна, не передана",7515.86,27,1,29.0,2023.02.07
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.07
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.07
020-0711,"Свободна, передана",7265.0,28,19,25.0,2023.02.07
019-0594,Занята,17488.0,1,2,,2023.02.07
020-0156,Занята,13288.0,21,15,,2023.02.07
019-0676,"Свободна, не передана",6291.0,29,20,107.0,2023.02.07
019-0674,Занята,9030.0,6,0,,2023.02.07
020-0157,Занята,7243.9,30,7,48.0,2023.02.07
017-0527,Занята,14784.0,8,5,,2023.02.07
022-0170,"Свободна, передана",16402.54,1,2,338.0,2023.02.08
022-0526,Занята,18100.0,0,0,,2023.02.08
022-0527,Не передана,9850.0,0,0,,2023.02.08
022-0522,Не передана,13260.0,0,0,,2023.02.08
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.08
022-0525,Не передана,9900.0,0,0,,2023.02.08
022-0523,,27225.0,0,0,,2023.02.08
022-0524,Занята,6800.0,0,0,,2023.02.08
022-0528,Занята,12225.0,0,0,,2023.02.08
022-0354,Занята,20271.0,0,0,,2023.02.08
022-0176,Не передана,17000.0,4,0,,2023.02.08
020-0720,"Свободна, передана",20164.69,9,6,238.0,2023.02.08
019-0429,"Свободна, передана",11410.0,11,7,79.0,2023.02.08
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.08
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.08
019-0431,"Свободна, передана",19433.4,22,16,188.0,2023.02.08
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.08
020-0710,"Свободна, передана",8067.83,8,5,92.0,2023.02.08
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.08
019-0675,"Свободна, передана",8844.0,26,18,139.0,2023.02.08
020-0709,"Свободна, не передана",6848.84,27,1,86.0,2023.02.08
020-0683,"Свободна, не передана",7515.86,27,1,34.0,2023.02.08
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.08
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.08
020-0711,"Свободна, передана",7265.0,28,19,27.0,2023.02.08
019-0594,Занята,17488.0,1,2,,2023.02.08
020-0156,Занята,13288.0,21,15,,2023.02.08
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.02.08
019-0674,Занята,9030.0,6,0,,2023.02.08
020-0157,Занята,7243.9,30,7,52.0,2023.02.08
017-0527,Занята,14784.0,8,5,,2023.02.08
022-0170,"Свободна, передана",16402.54,1,2,338.0,2023.02.09
022-0526,Занята,18100.0,0,0,,2023.02.09
022-0527,Не передана,9850.0,0,0,,2023.02.09
022-0522,Не передана,13260.0,0,0,,2023.02.09
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.09
022-0525,Не передана,9900.0,0,0,,2023.02.09
022-0523,,27225.0,0,0,,2023.02.09
022-0524,Занята,6800.0,0,0,,2023.02.09
022-0528,Занята,12225.0,0,0,,2023.02.09
022-0354,Занята,20271.0,0,0,,2023.02.09
022-0176,Не передана,17000.0,4,0,,2023.02.09
020-0720,"Свободна, передана",20164.69,9,6,238.0,2023.02.09
019-0429,"Свободна, передана",11410.0,11,7,79.0,2023.02.09
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.09
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.09
019-0431,"Свободна, передана",19433.4,22,16,188.0,2023.02.09
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.09
020-0710,"Свободна, передана",8067.83,8,5,92.0,2023.02.09
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.09
019-0675,"Свободна, передана",8844.0,26,18,139.0,2023.02.09
020-0709,"Свободна, не передана",6848.84,27,1,86.0,2023.02.09
020-0683,"Свободна, не передана",7515.86,27,1,34.0,2023.02.09
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.09
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.09
020-0711,"Свободна, передана",7265.0,28,19,27.0,2023.02.09
019-0594,Занята,17488.0,1,2,,2023.02.09
020-0156,Занята,13288.0,21,15,,2023.02.09
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.02.09
019-0674,Занята,9030.0,6,0,,2023.02.09
020-0157,Занята,7243.9,30,7,52.0,2023.02.09
017-0527,Занята,14784.0,8,5,,2023.02.09
022-0170,"Свободна, передана",16402.54,1,2,338.0,2023.02.10
022-0526,Занята,18100.0,0,0,,2023.02.10
022-0527,Не передана,9850.0,0,0,,2023.02.10
022-0522,Не передана,13260.0,0,0,,2023.02.10
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.10
022-0525,Не передана,9900.0,0,0,,2023.02.10
022-0523,,27225.0,0,0,,2023.02.10
022-0524,Занята,6800.0,0,0,,2023.02.10
022-0528,Занята,12225.0,0,0,,2023.02.10
022-0354,Занята,20271.0,0,0,,2023.02.10
022-0176,Не передана,17000.0,4,0,,2023.02.10
020-0720,"Свободна, передана",20164.69,9,6,238.0,2023.02.10
019-0429,"Свободна, передана",11410.0,11,7,79.0,2023.02.10
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.10
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.10
019-0431,"Свободна, передана",19433.4,22,16,188.0,2023.02.10
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.10
020-0710,"Свободна, передана",8067.83,8,5,92.0,2023.02.10
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.10
019-0675,"Свободна, передана",8844.0,26,18,139.0,2023.02.10
020-0709,"Свободна, не передана",6848.84,27,1,86.0,2023.02.10
020-0683,"Свободна, не передана",7515.86,27,1,34.0,2023.02.10
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.10
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.10
020-0711,"Свободна, передана",7265.0,28,19,27.0,2023.02.10
019-0594,Занята,17488.0,1,2,,2023.02.10
020-0156,Занята,13288.0,21,15,,2023.02.10
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.02.10
019-0674,Занята,9030.0,6,0,,2023.02.10
020-0157,Занята,7243.9,30,7,52.0,2023.02.10
017-0527,Занята,14784.0,8,5,,2023.02.10
022-0170,"Свободна, передана",16402.54,1,2,338.0,2023.02.12
022-0526,Занята,18100.0,0,0,,2023.02.12
022-0527,Не передана,9850.0,0,0,,2023.02.12
022-0522,Не передана,13260.0,0,0,,2023.02.12
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.12
022-0525,Не передана,9900.0,0,0,,2023.02.12
022-0523,,27225.0,0,0,,2023.02.12
022-0524,Занята,6800.0,0,0,,2023.02.12
022-0528,Занята,12225.0,0,0,,2023.02.12
022-0354,Занята,20271.0,0,0,,2023.02.12
022-0176,Не передана,17000.0,4,0,,2023.02.12
020-0720,"Свободна, передана",20164.69,9,6,238.0,2023.02.12
019-0429,"Свободна, передана",11410.0,11,7,79.0,2023.02.12
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.12
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.12
019-0431,"Свободна, передана",19433.4,22,16,188.0,2023.02.12
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.12
